id,affect,worried,remember,anxious,mental,productive,nonanxiety,calm,focus,sleep,mhworse,rintell,intell,rchange,change,rlearn,learn,cbdmindset,knowledge,tot_gms,tot_cbd
5,1,5,1,5,4,3,4,5,3,3,1,6,1,6,1,3,4,5,2,5,3.181818182
6,1,4,2,2,3,4,4,4,2,1,1,4,3,1,6,3,4,1,3,2.666666667,2.545454545
9,2,4,3,4,4,1,4,4,1,1,2,5,2,5,2,5,2,4,4,5,2.727272727
10,2,3,4,4,3,4,3,5,2,4,2,4,3,5,2,3,4,4,3,4,3.272727273
13,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,3,3,4,3
14,2,1,2,3,4,3,4,4,3,3,1,5,2,5,2,5,2,4,3,5,2.727272727
15,1,4,4,3,5,3,4,5,4,4,1,4,3,4,3,3,4,5,4,3.666666667,3.454545455
16,3,3,4,4,3,2,2,5,1,5,3,2,5,2,5,1,6,3,3,1.666666667,3.181818182
18,1,4,2,4,4,2,4,5,1,4,2,6,1,6,1,6,1,1,2,6,3
19,4,4,4,2,3,3,2,2,2,4,3,5,2,5,2,5,2,2,2,5,3
20,2,2,3,2,1,5,1,1,4,1,5,6,1,6,1,5,2,4,2,5.666666667,2.454545455
21,4,5,1,1,4,1,5,4,1,1,5,6,1,6,1,6,1,5,5,6,2.909090909
22,2,3,1,2,3,1,3,3,1,1,1,5,2,6,1,5,2,5,3,5.333333333,1.909090909
24,1,1,5,2,1,5,2,2,2,4,2,5,2,5,2,4,3,3,2,4.666666667,2.454545455
26,1,2,2,1,2,3,1,1,4,3,5,6,1,6,1,6,1,3,4,6,2.272727273
27,1,4,4,4,3,4,4,5,4,4,3,6,1,6,1,5,2,3,4,5.666666667,3.636363636
30,3,5,4,5,4,4,5,5,2,4,1,4,3,4,3,2,5,4,4,3.333333333,3.818181818
32,2,4,3,4,5,3,4,4,3,4,1,4,3,4,3,4,3,4,4,4,3.363636364
33,1,4,2,4,4,2,5,4,2,4,1,1,6,1,6,1,6,2,4,1,3
34,2,5,2,5,5,2,5,5,2,2,1,6,1,6,1,6,1,4,5,6,3.272727273
36,2,5,3,3,4,4,4,5,3,4,1,5,2,5,2,4,3,4,4,4.666666667,3.454545455
37,5,3,4,2,4,4,4,5,3,4,1,4,3,3,4,2,5,5,5,3,3.545454545
39,1,5,2,4,4,2,4,5,3,2,1,4,3,4,3,5,2,4,5,4.333333333,3
41,2,3,2,4,4,4,3,4,4,5,3,5,2,5,2,5,2,3,4,5,3.454545455
44,2,4,4,5,5,3,3,4,2,2,1,4,3,5,2,3,4,4,5,4,3.181818182
46,1,4,2,5,5,2,4,5,3,4,1,5,2,6,1,4,3,5,5,5,3.272727273
47,1,4,3,1,3,3,2,2,3,3,4,6,1,4,3,4,3,3,4,4.666666667,2.636363636
48,4,5,2,1,5,1,5,5,1,1,1,1,6,2,5,6,1,4,5,3,2.818181818
50,1,1,3,1,3,3,1,1,2,3,3,4,3,4,3,3,4,2,2,3.666666667,2
51,1,5,4,5,4,4,5,5,3,4,1,2,5,4,3,6,1,4,5,4,3.727272727
52,3,3,3,3,3,3,3,3,3,3,3,6,1,6,1,6,1,2,2,6,3
53,2,2,4,4,3,2,1,4,4,4,3,3,4,4,3,3,4,4,4,3.333333333,3
54,1,4,4,4,4,2,5,5,3,1,1,6,1,6,1,5,2,5,5,5.666666667,3.090909091
55,2,5,1,5,5,1,5,5,1,1,1,6,1,6,1,6,1,4,3,6,2.909090909
57,2,5,1,5,5,1,4,5,2,4,1,6,1,6,1,6,1,5,5,6,3.181818182
58,2,4,5,2,2,3,4,4,5,5,1,6,1,6,1,6,1,4,4,6,3.363636364
60,5,5,1,5,5,1,5,5,3,2,1,5,2,6,1,4,3,5,5,5,3.454545455
62,1,2,2,2,3,1,2,5,2,2,2,6,1,5,2,5,2,4,4,5.333333333,2.181818182
63,1,5,4,5,4,1,4,5,4,2,1,6,1,6,1,6,1,5,5,6,3.272727273
64,1,2,5,2,3,4,2,2,3,4,2,3,4,3,4,3,4,4,4,3,2.727272727
65,4,4,2,2,4,2,4,4,2,4,2,3,4,3,4,3,4,4,5,3,3.090909091
68,3,4,2,4,4,2,4,4,2,2,2,4,3,4,3,4,3,4,2,4,3
70,3,2,3,1,4,1,2,4,1,3,2,4,3,6,1,5,2,4,2,5,2.363636364
73,2,4,4,3,4,4,2,5,4,5,3,4,3,5,2,3,4,2,2,4,3.636363636
75,4,4,2,4,3,2,4,4,2,2,2,3,4,3,4,3,4,3,2,3,3
76,1,4,4,1,4,3,5,5,2,4,1,3,4,3,4,3,4,5,4,3,3.090909091
79,2,5,3,1,4,5,4,,2,3,2,5,2,5,2,4,3,4,5,4.666666667,3.1
80,2,4,3,4,3,2,4,5,1,4,4,5,2,5,2,4,3,4,5,4.666666667,3.272727273
83,3,3,2,3,1,3,3,3,3,3,3,5,2,5,2,5,2,3,2,5,2.727272727
87,2,2,3,2,5,2,3,3,2,4,1,2,5,5,2,5,2,1,4,4,2.636363636
88,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,3,2,4,3
89,1,4,3,4,3,2,3,4,2,2,2,6,1,6,1,5,2,4,3,5.666666667,2.727272727
91,1,4,1,5,4,2,4,4,3,2,1,5,2,5,2,5,2,3,4,5,2.818181818
92,2,3,4,3,2,4,3,3,4,4,3,4,3,4,3,4,3,2,2,4,3.181818182
95,1,4,4,3,2,4,3,5,4,3,3,5,2,6,1,5,2,1,2,5.333333333,3.272727273
