gender,genderLooking,age,agecode,counts_pictures,counts_profileVisits,counts_kisses,counts_fans,flirtInterests_chat,flirtInterests_friends,flirtInterests_date
Female,Male,25,over21,4,8279,239,0,true,true,true
Female,Male,22,over21,5,663,13,0,true,true,true
Female,None,20,under21,3,22187,1015,2,true,true,false
Female,Male,21,under21,12,35262,1413,9,true,false,false
Female,None,24,over21,13,18672,492,0,false,true,false
Female,Male,23,over21,6,19091,1348,0,true,false,true
Female,Male,20,under21,14,29984,2389,10,true,true,true
Female,Male,24,over21,1,5979,147,1,true,true,true
Female,Male,22,over21,3,10450,421,2,true,true,false
Female,Both,20,under21,5,2612,117,0,true,true,false
Female,Male,20,under21,12,32450,787,10,true,true,true
Female,Male,22,over21,2,20266,1148,0,true,true,true
Female,Male,25,over21,7,3413,86,0,true,false,true
Female,Male,19,under21,13,8310,143,2,true,false,false
Female,Male,21,under21,27,33018,812,36,true,true,true
Female,Male,22,over21,15,2502,25,0,true,false,false
Female,Both,19,under21,30,16096,533,6,true,true,false
Female,Male,22,over21,9,15457,431,0,true,true,true
Female,Male,20,under21,18,6962,361,0,true,true,true
Female,Male,24,over21,3,51339,2926,1,true,false,false
Female,Male,21,under21,7,3471,38,4,false,false,true
Female,Male,25,over21,18,12050,478,7,false,true,true
Female,Male,24,over21,12,26982,710,0,true,false,true
Female,Male,21,under21,11,47000,1469,82,true,false,false
Female,Male,19,under21,8,12754,368,2,true,true,true
Female,Male,25,over21,20,4372,134,16,true,false,false
Female,Male,20,under21,3,10531,360,1,true,false,false
Female,Male,22,over21,5,7045,316,0,true,false,true
Female,Male,20,under21,4,6730,297,2,false,true,false
Female,Male,24,over21,6,6756,81,0,true,false,true
Female,Male,22,over21,5,1309,89,0,true,true,false
Female,Male,26,over21,1,1448,37,0,false,false,true
Female,Male,20,under21,8,7979,138,4,true,true,true
Female,Male,24,over21,12,12629,548,0,true,false,false
Female,Male,19,under21,4,48980,2358,28,true,false,true
Female,Male,23,over21,30,11989,272,0,true,false,true
Female,Male,19,under21,5,6012,132,0,false,false,true
Female,Male,20,under21,13,2844,35,6,true,false,true
Female,Male,20,under21,1,27174,1306,0,true,false,false
Female,Male,25,over21,11,4709,203,10,true,true,true
Female,Male,21,under21,21,20642,530,15,true,false,false
Female,Male,21,under21,15,30950,1173,4,false,false,true
Female,Male,19,under21,7,9078,335,11,true,false,false
Female,Male,20,under21,3,864,39,0,true,true,true
Female,Male,23,over21,20,23177,1194,25,false,false,true
Female,Male,23,over21,1,52,0,0,true,false,true
Female,Male,20,under21,13,4829,348,0,false,false,true
Female,Both,22,over21,11,5550,450,12,false,true,false
Female,Male,19,under21,8,1255,52,1,true,true,false
Female,Male,21,under21,18,15200,1187,7,true,false,false
Female,Male,25,over21,7,8143,317,1,false,false,true
Female,Male,19,under21,5,17289,734,1,true,false,false
Female,Male,22,over21,6,43387,1854,12,true,true,true
Female,None,20,under21,19,28293,1027,2,false,false,false
Female,Male,19,under21,7,5101,158,1,true,false,false
Female,Male,20,under21,7,31221,1117,6,true,true,true
Female,Male,22,over21,3,9896,413,2,false,true,false
Female,Male,21,under21,5,11895,730,0,true,false,true
Female,Male,23,over21,13,50275,3687,0,true,true,true
Female,Male,24,over21,11,14526,1116,19,false,false,true
Female,Male,24,over21,15,3769,276,2,true,true,false
Female,None,22,over21,6,14082,667,12,true,true,false
Female,None,23,over21,1,1797,40,3,false,false,true
Female,Male,20,under21,6,30847,1861,43,true,false,false
Female,Male,20,under21,11,7465,247,2,true,true,false
Female,None,19,under21,11,22226,2338,1,true,true,true
Female,Male,22,over21,4,17971,657,0,false,false,true
Female,Male,22,over21,13,47475,2137,0,true,true,false
Female,Male,24,over21,9,7014,216,2,true,true,false
Female,Male,19,under21,5,12344,234,26,true,false,false
Female,Male,21,under21,5,3808,120,1,true,false,false
Female,Male,22,over21,5,22443,475,0,true,false,false
Female,Male,19,under21,9,11909,242,0,false,false,true
Female,Male,24,over21,6,24877,1414,119,true,true,true
Female,Male,21,under21,3,1058,62,1,true,false,false
Female,Male,21,under21,20,44883,3556,14,false,false,true
Female,Both,21,under21,20,17092,461,1,true,false,false
Female,Male,20,under21,6,49039,4269,0,true,true,false
Female,Male,24,over21,3,21710,801,0,true,false,true
Female,Male,21,under21,19,21706,478,18,true,true,false
Female,Male,23,over21,13,12405,238,2,false,true,true
Female,Male,19,under21,1,5783,178,4,false,false,false
Female,Male,25,over21,3,5481,164,0,true,false,false
Female,Male,19,under21,4,27780,2187,0,true,false,false
Female,Male,23,over21,7,14435,490,12,true,true,true
Female,Male,21,under21,3,3075,106,15,true,false,false
Female,Male,19,under21,4,22468,1306,2,true,true,true
Female,Male,23,over21,6,2597,53,0,false,false,true
Female,Male,20,under21,7,9139,333,11,true,false,true
